Darija (Arabic),Darija (Arabizi),Arabic Standard,English
تريكو,trico,قميص,Shirt
قمجة,9meja,قميص,Shirt
قمجة,qmeja,قميص,Shirt
قميجة,qamija,قميص,Shirt
قميجة,9amija,قميص,Shirt
سروال,srwal,بنطلون,Pants
سروال,sarwal,بنطلون,Pants
سروال,serwal,بنطلون,Pants
جاكيطة,jakita,سترة,Jacket
كبّوط,kabbot,معطف,Coat
كبّوط,kebbot,معطف,Coat
صايا,saya,تنورة,Skirt
كسوة,ksswa,فستان,Dress
كسوة,kasswa,فستان,Dress
كسوة,kesswa,فستان,Dress
شورط,chort,شورت,Shorts
شورت,chort,بلوزة,Blouse
تيشورت,tichort,تيشيرت,T-shirt
تيشورت,tishort,تيشيرت,T-shirt
قميجة نص كم,qamija nos kom,تيشيرت,T-shirt
پيجامة,pijama,بيجامة,Pajamas
حجاب,Hijab,حجاب,Hijab
حجاب,7ijab,حجاب,Hijab
عباية,3baya,عباءة,Abaya
عباية,Abaya,عباءة,Abaya
كندورة,kandoura,كندورة,Kandura
كندورة,gandoura,كندورة,Kandura
كرافاطا,kravata,ربطة عنق,Tie
كراڤاطا,kravata,ربطة عنق,Tie
حزام,7zem,حزام,Belt
حزام,7zam,حزام,Belt
حزام,Hzam,حزام,Belt
حزام,Hzem,حزام,Belt
طربوش,tarbooch,قبعة,Hat
طربوش,tarbouch,قبعة,Hat
طربوش,tarboch,قبعة,Hat
تقاشر,tqashr,جوارب,Socks
تقاشر,tqasher,جوارب,Socks
تقاشر,t9acher,جوارب,Socks
تقاشر,t9achr,جوارب,Socks
تقاشر,tqachr,جوارب,Socks
تقاشر,tqacher,جوارب,Socks
تقاشر,t9asher,جوارب,Socks
تقاشر,t9ashr,جوارب,Socks
صباط,sabat,حذاء,Shoes
صباط,sbat,حذاء,Shoes
كفوف,kfof,قفازات,Gloves
جلابة,jellaba,جلابة,Djellaba
قفطان,kaftan,قفطان,Kaftan
برنوس,bernous,برنوس,Burnous
برنوس,barnous,برنوس,Burnous
دراعة,daraâa,دراعة,Daraa
دراعة,dara3a,دراعة,Daraa
طرحة,tarha,خمار,Khimar
طرحة,tar7a,خمار,Khimar
فُولة,foula,خمار,Khimar
خمار,khimar,خمار,Khimar
خمار,5imar,خمار,Khimar
حايك,7ayek,حايك,Haik
حايك,hayek,حايك,Haik
فُولة,foula,وشاح,Scarf
شال,chal,وشاح,Scarf
سروال قندريسي,serwal qandrissi,سروال قندريسي,Qandrissi Pants
كاسكيطة,kasketa,طاقية,Cap
كاسكيطة,kaskita,طاقية,Cap
رْدَا,rda,غطاء رأس,Head Cover
فروة,farwa,فرو,Fur
الصوفة,essoufa,فرو,Fur
صديري,sdiri,صديري,waistcoat
مايو,mayo,ثوب سباحة,Swimsuit
كوستيم,koustim,سترة رسمية,Formal Jacket
كوستيم,koustim,بدلة,Suit
حوايج,7wayaj,ملابس ,clothes
حوايج,7wayej,ملابس ,clothes
حوايج,Hwayaj,ملابس ,clothes
حوايج,Hwayej,ملابس ,clothes
حوايج,7wyj,ملابس ,clothes
شربيل,cherbil,شبشب,Slippers
بلغة,blgha,شبشب,Slippers
بلغة,balgha,شبشب,Slippers
بوط,bot,بوت,Boots
خاتم,5atm,خاتم,Ring
سبّاط,sebbat,حذاء,Shoe
سليپ,slip,ملابس داخلية,Underpants
دجين,djin,جينز,Jeans
ليكوش,likoch,حفاضات,Diapers
صضفة,SaDfa,زر,Button
جيب,jayb,جيب,Pocket
طوانڭ,Twaneg,أقراط,Earring
سنسلة,sensla,عقد,Necklace
ڭورميط,gourmiT,سوار,Bracelet
بسطام,bzTam,محفظة,Wallet
مضلّ,mDall,مظلة,Umbrella
طاڭية,Taguia,طاقية,Skullcap
توني,toni,قميص رياضي,Football Shirt
جلّابة,jllaba,جلابة,Jellaba
بلغة,belgha,بلغة,Blgha
درّاعية,Drra3ia,درعية,Drraia
جابادور,jabadour,جابادور,Jabador
تكشيطة,tekchiTa,تكشيطة,Takchita
سلهام,slham,سلهام,Cape
