Darija (Arabic),Darija (Arabizi),Arabic Standard,English
زراعة,zira3a,زراعة,agriculture
بانكا,banka,بنك,bank
البنك,banka,بنك,bank
ميزانية,mizania,ميزانية,budget
شرّاي,chrray,شاري,buyer
شرّاي,chray,شاري,buyer
راسلمال,raslmal,رأس المال,capital
راسلمال,ras lmal,رأس المال,capital
تجارة,tijara,تجارة,commerce
ستهلاك,sti8lak,استهلاك,consumption
ستهلاك,stihlak,استهلاك,consumption
ستهلاك,istihlak,استهلاك,consumption
ستهلاك,isti8lak,استهلاك,consumption
كريدي,kridi,ائتمان,credit
درهم,dr8m,درهم,dirham
درهم,drhm,درهم,dirham
درهم,der8am,درهم,dirham
درهم,dirham,درهم,dirham
قتصاد,9tiSad,اقتصاد,economy
قتصاد,9tissad,اقتصاد,economy
الموظف,mowazzaf,موظف,employee
الموظف,mowazzaf,مُوظّف,employee
الموظف,mowazzaf,مُوَظَّف,employee
تمويل,tmwil,تمويل,funding
تمويل,tamwil,تمويل,funding
تمويل,tmouil,تمويل,funding
تمويل,temwil,تمويل,funding
صناعة,Sina3a,صناعة,industry
استثمار,stitmar,استثمار,investment
استثمار,istitmar,استثمار,investment
سلف,salaf,قرض,loan
قرض,9rD,قرض,loan
قرض,9arD,قرض,loan
قرض,9erD,قرض,loan
سوق,sou9,سوق,market
سوق,souq,سوق,market
سوق,souk,سوق,market
السوق,souq,سوق,market
فلوس,flous,نقود,money
فلوس,flouss,نقود,money
اللعاقة,l3a9a,نقود,money
اللعاقة,ll3a9a,نقود,money
اللعاقة,ll3aqa,نقود,money
فلوس,flous,نقود,money
تخطيط,tkhTiT,تخطيط,planning
التمن,ttaman,السعر,price
التمن,taman,السعر,price
لقطاع لخاص,l9iTa3 lkhaS,لقطاع لخاص,private sector
مشروع,mchro3,مشروع,project
مشروع,machrou3,مشروع,project
مشروع,mchrou3,مشروع,project
مشروع,mechrou3,مشروع,project
لقطاع لعامّ,l9iTa3 l3amm,لقطاع لعامّ,public sector
كرا,kra,إيجار,rent
كرا,lkra,إيجار,rent
كراء,kra,إيجار,rent
راتب,ratib,راتب,salary
بيّاع,byya3,بائع,seller
بيّاع,beyya3,بائع,seller
بيّاع,beya3,بائع,seller
بيّاع,bya3,بائع,seller
ستقرار,sti9rar,استقرار,stability
ستقرار,isti9rar,استقرار,stability
ستقرار,stiqrar,استقرار,stability
بورصا,borSa,بورصا,stock exchange
بورصا,bourSa,بورصا,stock exchange
التروة,tterwa,ثروة,wealth
التروة,ttrwa,ثروة,wealth
التروة,ttarwa,ثروة,wealth
