Darija_Arabe,Arabizi,Arabe_Standard,Anglais
عائلة,3a2ila,عائلة,family
عايلة,3ayla,عائلة,family
عائلة,3aila,عائلة,family
بنتي,bnti,ابنتي,my daughter
بنتي,benti,ابنتي,my daughter
بنتي,banti,ابنتي,my daughter
ولدي,wldi,ولدي,my son
ولدي,waldi,ولدي,my son
ولدي,weldi,ولدي,my son
لواليد,lwalid,أبي,father
لواليد,loualid,أبي,father
لواليدة,lwalida,لواليدة,mother
لواليدة,loualida,أمي,mother
بابا,baba,بابا,dad
بابا,bba,بابا,dad
ماما,mama,ماما,mom
ماما,mmi,ماما,mom
ماما,mma,ماما,mom
خويا,khouya,أخي,my brother
خويا,5ouya,أخي,my brother
خويا,khoya,أخي,my brother
ختي,khti,أختي,my sister
ختي,5ti,أختي,my sister
عمي,3mi,عمي,my uncle
عمي,3ami,عمي,my uncle
عمي,aami,عمي,my uncle
عمي,3mmi,عمي,my uncle
عمتي,3mti,عمتي,my aunt
عمتي,aamti,عمتي,my aunt
عمتي,3amti,عمتي,my aunt
عمتي,3mmti,عمتي,my aunt
خالي,khali,خالي,my uncle
خالي,5ali,خالي,my uncle
خالتي,khalti,خالتي,my aunt
خالتي,5alti,خالتي,my aunt
كوزان,kouzan,قريبي,my cousin
كوزان,kozan,قريبي,my cousin
كوزين,kouzin,قريبتي,my cousine
كوزين,kozin,قريبتي,my cousine
ولد عمي,wld 3mi, ابن عمي,my cousin
ولد عمي,wld 3ami, ابن عمي,my cousin
ولد عمي,wld ami,ابن عمي,my cousin
ولد عمي,wld aami,ابن عمي,my cousin
ولد عمي,wld 3mmi,ابن عمي,my cousin
ولد عمتي,wld 3mti,ابن عمتي,my cousin
ولد عمتي,wld aamti,ابن عمتي,my cousin
ولد عمتي,wld 3mmti,ابن عمتي,my cousin
ولد عمتي,wld 3amti,ابن عمتي,my cousin
ولد خالي,wld khali,ابن خالي,my cousin
ولد خالي,wld 5ali,ابن خالي,my cousin
ولد خالتي,wld khalti,ابن خالي,my cousin
ولد خالتي,wld 5alti,ابن خالي,my cousin
بنت عمي,bnt 3mi,ابنة عمي,my cousin
بنت عمي,bnt aami,ابنة عمي,my cousin
بنت عمي,bnt 3ami,ابنة عمي,my cousin
بنت عمي,bnt 3mmi,ابنة عمي,my cousin
بنت عمتي,bnt 3mti,ابنة عمتي,my cousin
بنت عمتي,bnt aamti,ابنة عمتي,my cousin
بنت عمتي,bnt 3amti,ابنة عمتي,my cousin
بنت عمتي,bnt 3mmti,ابنة عمتي,my cousin
بنت خالي,bnt khali,ابنة خالي,my cousin
بنت خالي,bnt 5ali,ابنة خالي,my cousin
بنت خالتي,bnt khalti,ابنة خالي,my cousin
بنت خالتي,bent khalti,ابنة خالي,my cousin
بنت خالتي,bnt 5alti,ابنة خالي,my cousin
زوجة,zawja,زوجة,wife
زوجة,zzawja,زوجة,wife
زوجة,zwja,زوجة,wife
لمرا,lmra,زوجتي,wife
لمرا,lemra,زوجتي,wife
لمرا,lamra,زوجتي,wife
زوجتي,zawjati,زوجتي,my wife
مرتي,merti,امرأتي,my wife
مرتي,mrati,امرأتي,my wife
مادام,madam,سيدة,my wife
مادام,madamti,سيدة,my wife
زوج,zawj,زوج,husband
زوج,zzawj,زوج,husband
