Darija_Arabe,Arabizi,Arabe_Standard,Anglais
رقم,ra9m,رقم,number
رقم,raqm,رقم,number
رقم,ra9am,رقم,number
رقم,raqam,رقم,numberA
رقم,r9m,رقم,number
رقم,rqm,رقم,number
عدد,3adad,عدد,number
عدد,adad,عدد,number
صفر,sifr,صفر,zero
زيرو,zéro,صفر,zero
زيرو,ziro,صفر,zero
واحد,wahd,واحد,one
واحد,wahed,واحد,one
واحد,wahad,واحد,one
واحد,wa7ed,واحد,one
واحد,wa7d,واحد,one
واحد,wa7ad,واحد,one
جوج,jouj,اثنين,two
جوج,joj,اثنين,two
زوج,zouj,اثنين,two
زوج,zoj,اثنين,two
تلاثة,tlata,ثلاثة,three
تلاثة,tlatha,ثلاثة,three
ربعة,rab3a,أربعة,four
ربعة,rb3a,أربعة,four
ربعة,reb3a,أربعة,four
خمسة,5amsa,خمسة,five
خمسة,5msa,خمسة,five
خمسة,5emsa,خمسة,five
خمسة,khamsa,خمسة,five
خمسة,khemsa,خمسة,five
خمسة,khmsa,خمسة,five
ستة,stta,ستة,six
ستة,setta,ستة,six
ستة,satta,ستة,six
سبعة,sb3a,سبعة,seven
سبعة,seb3a,سبعة,seven
سبعة,sab3a,سبعة,seven
تمنية,tmnia,ثمانية,eight
تمنية,tmenia,ثمانية,eight
تمنية,tmania,ثمانية,eight
تسعود,ts3oud,تسعة,nine
تسعود,ts3od,تسعة,nine
تسعود,tas3oud,تسعة,nine
تسعود,tes3oud,تسعة,nine
تسعة,ts3a,تسعة,nine
تسعة,tes3a,تسعة,nine
تسعة,tas3a,تسعة,nine
عشرة,3achra,عشرة,ten
عشرة,3chra,عشرة,ten
عشرة,achra,عشرة,ten
عشرة,2achra,عشرة,ten
عشرة,2chra,عشرة,ten
عشرة,aachra,عشرة,ten
حداش,7dach,أحد عشر,eleven
حداش,hdach,أحد عشر,eleven
حداش,7dch,أحد عشر,eleven
حداش,hdch,أحد عشر,eleven
طناش,tnach,إثنا عشر,twelve
ثناش,thnach,إثنا عشر,twelve
تناش,tnach,إثنا عشر,twelve
طلطاش,tltch,ثلاثة عشر,thirteen
طلطاش,tlatach,ثلاثة عشر,thirteen
طلطاش,tltach,ثلاثة عشر,thirteen
طلطاش,teltach,ثلاثة عشر,thirteen
طلطاش,tletach,ثلاثة عشر,thirteen
طلطاش,tlatach,ثلاثة عشر,thirteen
تلطاش,tltch,ثلاثة عشر,thirteen
تلطاش,tlatach,ثلاثة عشر,thirteen
تلطاش,tltach,ثلاثة عشر,thirteen
تلطاش,teltach,ثلاثة عشر,thirteen
تلطاش,tletach,ثلاثة عشر,thirteen
تلطاش,tlatach,ثلاثة عشر,thirteen
ربعطاش,rbaatch,أربعة عشر,fourteen
ربعطاش,rbatach,أربعة عشر,fourteen
ربعطاش,rba3tach,أربعة عشر,fourteen
ربعطاش,rb3tch,أربعة عشر,fourteen
ربعطاش,rbe3tch,أربعة عشر,fourteen
ربعطاش,rbe3tach,أربعة عشر,fourteen
خمسطاش,khmastach,خمسة عشر,fifteen
خمسطاش,khamastach,خمسة عشر,fifteen
خمسطاش,khemstach,خمسة عشر,fifteen
خمسطاش,khmstach,خمسة عشر,fifteen
خمسطاش,khmastach,خمسة عشر,fifteen
خمسطاش,khamastach,خمسة عشر,fifteen
خمسطاش,khemstach,خمسة عشر,fifteen
خمسطاش,khmstach,خمسة عشر,fifteen
سطاش,sttach,ستة عشر,sixteen
سطاش,settach,ستة عشر,sixteen
سطاش,setach,ستة عشر,sixteen
سطاش,stach,ستة عشر,sixteen
سبعطاش,sb3tch,سبعة عشر,seventeen
سبعطاش,sba3tach,سبعة عشر,seventeen
سبعطاش,sb3tach,سبعة عشر,seventeen
سبعطاش,sbe3tach,سبعة عشر,seventeen
سبعطاش,sbatach,سبعة عشر,seventeen
تمنطاش,tmantach,ثمانية عشر,eighteen
تمنطاش,tmntach,ثمانية عشر,eighteen
تمنطاش,tmentach,ثمانية عشر,eighteen
تسعطاش,tsa3tach,تسعة عشر,nineteen
تسعطاش,ts3tch ,تسعة عشر,nineteen
تسعطاش,tse3tach,تسعة عشر,nineteen
عشرين,3chrine,عشرين,twenty
عشرين,3chrin,عشرين,twenty
عشرين,3echrin,عشرين,twenty
عشرين,3ochrine,عشرين,twenty
عشرين,3achrine,عشرين,twenty
واحد وعشرين,wahd o 3chrin,واحد و عشرين,twenty-one
واحد وعشرين,wahdo3chrine,واحد و عشرين,twenty-one
واحد وعشرين,wahdw3chrine,واحد و عشرين,twenty-one
تنين وعشرين,tnin o 3chrine,اثنين وعشرين,twenty-two
تنين وعشرين,tnino3chrin,اثنين وعشرين,twenty-two
تنين وعشرين,tnino3achrin,اثنين وعشرين,twenty-two
تنين وعشرين,tninw3chrin,اثنين وعشرين,twenty-two
تناين وعشرين,tnayn o 3chrin ,اثنين وعشرين,twenty-two
تناين وعشرين,tnayno3chrin,اثنين وعشرين,twenty-two
تناين وعشرين,tnaynw3chrin,اثنين وعشرين,twenty-two
تلاتة وعشرين,tlata w 3chrin,ثلاثة وعشرين,twenty-three
تلاتة وعشرين,tlatao3chrin,ثلاثة وعشرين,twenty-three
تلاتة وعشرين,tlataw3chrin,ثلاثة وعشرين,twenty-three
ربعة وعشرين,rb3a w 3chrin,أربعة وعشرين,twenty-four
ربعة وعشرين,rab3a w 3chrin,أربعة وعشرين,twenty-four
ربعة وعشرين,rab3aw3chrin,أربعة وعشرين,twenty-four
ربعة وعشرين,rab3ao3chrin,أربعة وعشرين,twenty-four
ربعة وعشرين,rb3ao3achrin,أربعة وعشرين,twenty-four
خمسة وعشرين,5amsa w 3chrin,خمسة وعشرين,twenty-five
خمسة وعشرين,khamsa w 3chrin,خمسة وعشرين,twenty-five
خمسة وعشرين,5msaw3chrin,خمسة وعشرين,twenty-five
خمسة وعشرين,5msa ou 3chrine,خمسة وعشرين,twenty-five
ستة وعشرين,setta w 3chrin,ستة وعشرين,twenty-six
ستة وعشرين,stta w 3chrin,ستة وعشرين,twenty-six
ستة وعشرين,sttao3chrin,ستة وعشرين,twenty-six
سبعة و عشرين,sb3a w 3chrin,سبعة و عشرين,twenty-seven
سبعة و عشرين,sb3a ou 3chrin ,سبعة و عشرين,twenty-seven
