Darija (Arabe),Arabizi,Arabe,Anglais
وردة,wrda,وردة,rose
وردة,warda,وردة,rose
وردة,werda,وردة,rose
نبتة,nbta,نبتة,plant
نبتة,nabta,نبتة,plant
نبتة,nebta,نبتة,plant
نبتة,nbbta,نبتة,plant
شوك,chouk,شوك,thorn
نخلة,nkhla,نخلة,palm tree
نخلة,nakhla,نخلة,palm tree
نخلة,na5la,نخلة,palm tree
نخلة,n5la,نخلة,palm tree
شجرة,chjra,شجرة,tree
شجرة,chajra,شجرة,tree
شجرة,chjra,شجرة,tree
شجرة,chjra,شجرة,tree
شجر,chjr,شجر,trees
شجر,chjer,شجر,trees
شجر,chjar,شجر,trees
صبّار,Sbbar,صبّار,cactus
صبّار,Sabbar,صبّار,cactus
صفصاف,SafSaf,صفصاف,willow
صنوبر,Sanawbar,صنوبر,pine
صنوبر,Snawbar,صنوبر,pine
صنوبر,Snawbr,صنوبر,pine
عرش,3arch,فرع,branch
عرش,3rch,فرع,branch
عرش,arch,فرع,branch
عرش,aarch,فرع,branch
سوسن,sawsan,سوسن,iris
سوسن,swsan,سوسن,iris
سوسن,sawsen,سوسن,iris
زراعة,zira3a,زراعة,agriculture
زرّيعة,zrri3a,زرّيعة,seed
زرّيعة,zerri3a,زرّيعة,seed
زرّيعة,zeri3a,زرّيعة,seed
ڭازو,gazo,عشب,grass
عشب,3chab,عشب,grass
عشب,3chb,عشب,grass
عشب,3ochb,عشب,grass
جدر,jdr,جذر,root
جدر,jidr,جذر,root
جدر,jidhr,جذر,root
تراب,trab,تراب,soil
نخلة,nakhla,نخلة,palm tree
نخلة,na5la,نخلة,palm tree
صفصاف,SefSaf,صفصاف,willow
صفصاف,SafSaf,صفصاف,willow
تومة,touma,ثوم,Garlic
بطاطا,btata,بطاطا,Potato
بطاطا,batata,بطاطا,Potato
قزبر,qzbor,كزبرة,Coriander
قزبر,qozbor,كزبرة,Coriander
قزبر,9zbor,كزبرة,Coriander
قزبر,9ozbor,كزبرة,Coriander
قزبر,9sbor,كزبرة,Coriander
قزبر,9osbor,كزبرة,Coriander
فجل,fjl,فجل,Radish
فجل,fjel,فجل,Radish
خس,khss,خس,Lettuce
خس,5ss,خس,Lettuce
خس,5es,خس,Lettuce
سلاطة,slata,سلطة,salad
شلاظة,chlada,سلطة,salad
قرعة,qar3a,قرع,Pumpkin
قرعة,9ar3a,قرع,Pumpkin
حرمل,7armal,حرمل,Harmal 
حرمل,7arml,حرمل,Harmal 
حرمل,7rml,حرمل,Harmal 
حرمل,harmal,حرمل,Harmal 
حرمل,harml,حرمل,Harmal 
حرمل,hrml,حرمل,Harmal 
خزامة,lavandar,خزامى,Lavender
