Darija (Arabe),Arabizi,Arabe,Anglais
أنا,ana,أنا,me
أنا,ana,أنا,I
نتا,nta,نتا,you
نتي,nti,نتي,you
هو,hoa,هو,him
هو,howa,هو,him
هو,8owa,هو,him
هو,8oa,هو,him
هيا,hia,هيا,her
هيا,hya,هيا,her
هيا,8ya,هيا,her
هيا,8ia,هيا,her
حنا,7na,حنا,us
حنا,7na,حنا,we
نتوما,ntoma,نتوما,you
نتوما,ntouma,نتوما,you
هوما,homa,هوما,them
هوما,houma,هوما,them
هوما,8ouma,هوما,them
هوما,8oma,هوما,them
أيّ واحد,ayy wahd,أيّ واحد,everyone
تا واحد,tta wahd,تا واحد,anyone
أيّتها حاجة,ayyatoha haja,أيّتها حاجة,anything
كولشي,kolchi,كولشي,everything
كولشي,koulchi,كولشي,everything
كولشي,kollchi,كولشي,everything
كولشي,koullchi,كولشي,everything
هادا,hada,هادا,this
هادا,hadi,هادا,this
هادا,hadchi,هادا,this
هادا,had,هادا,this
داك,dak,داك,that
هاداك,hadak,هاداك,that
هاديك,hadik,هاديك,that
هادو,hado,هادو,these
هادو,hadou,هادو,these
هادو,hado,هادو,those
هادو,hadou,هادو,those
إمتا,imta,إمتا,when
فوقاش,fo9ach,فوقاش,when
فوقاش,foqach,فوقاش,when
فين,fine,فين,where
فين,fin,فين,where
وقتاش,w9tach,وقتاش,when
وقتاش,wa9tach,وقتاش,when
وقتاش,we9tach,وقتاش,when
علاش,3lach,علاش,why
علاش,aalach,علاش,why
كيفاش,kifach,كيفاش,why
أش,ach,أش,what
شنو,chno,شنو,what
شكون,chkon,شكون,who
كيفاش,kifach,كيفاش,how
كتر,ktr,كتر,more
كتر,kter,كتر,more
كتر,ktar,كتر,more
أكتر,aktar,أكتر,most
أقل,a9al,أقل,least
قل,9el,قل,less
قل,9al,قل,less
شي حدّ,chi 7edd,شي حدّ,someone
شي حدّ,chi 7ed,شي حدّ,someone
شي حدّ,chi7ed,شي حدّ,someone
شي حدّ,chi7edd,شي حدّ,someone
ديالي,dyali,ديالي,mine
ديالي,diali,ديالي,mine
ديالو,dyalo,ديالو,his
ديالو,dialo,ديالو,his
ديالو,dialou,ديالو,his
ديالو,dyalou,ديالو,his
ديالها,dyalha,ديالها,her
ديالها,dialha,ديالها,her
ديالها,dial8a,ديالها,her
ديالها,dyal8a,ديالها,her
ديالها,dyalha,ديالها,hers
ديالها,dialha,ديالها,hers
ديالها,dial8a,ديالها,hers
ديالها,dyal8a,ديالها,hers
ديالهوم,dyalhom,ديالهوم,their
ديالهوم,dialhom,ديالهوم,their
ديالهوم,dial8om,ديالهوم,their
ديالهوم,dyalhoum,ديالهوم,their
ديالهوم,dyalhom,ديالهوم,theirs
ديالهوم,dialhom,ديالهوم,theirs
ديالهوم,dial8om,ديالهوم,theirs
ديالهوم,dyalhoum,ديالهوم,theirs
ديالنا,dyalna,ديالنا,our
ديالنا,dialna,ديالنا,our
ديالنا,dyalna,ديالنا,ours
ديالنا,dialna,ديالنا,ours
دياولي,dyawli,دياولي,mine
دياولي,diawli,دياولي,mine
دياولو,dyawlo,دياولو,his
دياولو,diawlo,دياولو,his
دياولو,diawlou,دياولو,his
دياولو,dyawlou,دياولو,his
دياولها,dyawlha,دياولها,her
دياولها,diawlha,دياولها,her
دياولها,diawl8a,دياولها,her
دياولها,dyawl8a,دياولها,her
دياولها,dyawlha,دياولها,hers
دياولها,diawlha,دياولها,hers
دياولها,diawl8a,دياولها,hers
دياولها,dyawl8a,دياولها,hers
دياولهوم,dyawlhom,دياولهوم,their
دياولهوم,diawlhom,دياولهوم,their
دياولهوم,diawl8om,دياولهوم,their
دياولهوم,dyawlhoum,دياولهوم,their
دياولهوم,dyawlhom,دياولهوم,theirs
دياولهوم,diawlhom,دياولهوم,theirs
دياولهوم,diawl8om,دياولهوم,theirs
دياولهوم,dyawlhoum,دياولهوم,theirs
دياولنا,dyawlna,دياولنا,our
دياولنا,dialna,دياولنا,our
دياولنا,dyawlna,دياولنا,ours
دياولنا,dialna,دياولنا,ours
بحال,b7al,بحال,such
بحال,bhal,بحال,such
عرّام,3rram,عرّام,plenty of
عرّام,3erram,عرّام,plenty of
نحن,n7na,نحن,we
أنتم,antom,أنتم,you (plural)
أنتن,antona,أنتن,you (fem. plural)
هم,hom,هم,they
هن,hona,هن,they (fem.)
