Darija_Arabe,Arabizi,Arabe_Standard,Anglais
كلا,kla,أكل,eat
شرب,chrb,شرب,drink
شرب,shrb,شرب,drink
شرب,chreb,شرب,drink
شرب,shreb,شرب,drink
شرب,chrab,شرب,drink
شرب,shrab,شرب,drink
دخل,dkhel,دخل,enter
دخل,d5el,دخل,enter
دخل,dkhl,دخل,enter
دخل,d5l,دخل,enter
دخل,dkhal,دخل,enter
دخل,d5al,دخل,enter
خرج,khrj,خرج,go out
خرج,5rj,خرج,go out
خرج,khraj,خرج,go out
خرج,5raj,خرج,go out
خرج,khrej,خرج,go out
خرج,5rej,خرج,go out
فهم,fhem,فهم,understand
فهم,fhm,فهم,understand
فهم,fham,فهم,understand
فهم,f8em,فهم,understand
فهم,f8m,فهم,understand
فهم,f8am,فهم,understand
شرح,chr7,شرح,explain
شرح,chrh,شرح,explain
شرح,shr7,شرح,explain
شرح,shrh,شرح,explain
شرح,chra7,شرح,explain
شرح,chrah,شرح,explain
شرح,shra7,شرح,explain
شرح,shrah,شرح,explain
شرح,chre7,شرح,explain
شرح,chreh,شرح,explain
شرح,shre7,شرح,explain
شرح,shreh,شرح,explain
قرا,9ra,قرأ,learn
قرا,qra,قرأ,learn
قرّا,9rra,قرأ,teach
قرّا,9ra,قرأ,teach
قرّا,qra,قرأ,teach
قرّا,qrra,قرأ,teach
قرّا,9erra,قرأ,teach
قرّا,9era,قرأ,teach
قرّا,qera,قرأ,teach
قرّا,qerra,قرأ,teach
سمع,sm3,سمع,hear
سمع,sme3,سمع,hear
سمع,sma3,سمع,hear
شاف,chaf,رأى,see
شاف,shaf,رأى,see
شاف,chaaf,رأى,see
شاف,shaaf,رأى,see
شم,chm,يشم,smell
شم,shm,يشم,smell
شم,chemm,يشم,smell
شم,chem,يشم,smell
شم,shem,يشم,smell
شم,shemm,يشم,smell
شم,chmm,يشم,smell
شم,shmm,يشم,smell
شم,cham,يشم,smell
شم,sham,يشم,smell
داق,da9,تذوق,taste
داق,daq,تذوق,taste
قاس,9as,لمس,touch
قاس,qas,لمس,touch
لمس,lmes,لمس,touch
لمس,lms,لمس,touch
مس,mes,لمس,touch
مس,ms,لمس,touch
مشا,mcha,ذهب,go
مشا,msha,ذهب,go
جا,ja,أتى,come
طلع,tl3,صعد,ascend
طلع,tla3,صعد,ascend
طلع,tle3,صعد,ascend
نزل,nzl,نزل,go down
نزل,nzel,نزل,go down
نزل,nzal,نزل,go down
عام,3am,سبح,swim
غرق,ghr9,غرق,drown
غرق,ghrq,غرق,drown
غرق,ghra9,غرق,drown
غرق,ghraq,غرق,drown
غرق,ghre9,غرق,drown
غرق,ghreq,غرق,drown
لبس,lbs,لبس,wear
لبس,lbes,لبس,wear
لبس,lbas,لبس,wear
سلت,slt,نزع,take off
سلت,slet,نزع,take off
سلت,slat,نزع,take off
حيد,7ayed,نزع,take off
حيد,hayed,نزع,take off
حيد,7ayd,نزع,take off
حيد,hayd,نزع,take off
شرا,chra,اشترى,buy
شرا,shra,اشترى,buy
باع,ba3,باع,sell
باع,baa3,باع,sell
تاوا,ttawa,تفاوض,bargain
تاوا,tawa,تفاوض,bargain
كايساوم,kaysawem,تفاوض,bargain
كيساوم,kaysaawem,تفاوض,bargain
كيساوم,kaysawem,تفاوض,bargain
كتب,ktb,كتب,write
كتب,kteb,كتب,write
كتب,ktab,كتب,write
مسح,ms7,مسح,clean
مسح,msh,مسح,clean
مسح,msa7,مسح,clean
مسح,msah,مسح,clean
ضرب,drab,ضرب,hit
ضرب,dreb,ضرب,hit
تسالم,tsalm,يحيّي,salute
تسالم,tsalem,يحيّي,salute
عيا,3ya,تعب,fatigue
عيا,3ia,تعب,fatigue
تسخسخ,tskhskh,أجهَدَ,exhaust
تسخسخ,ts5s5,أجهَدَ,exhaust
تسخسخ,tsakhsakh,أجهَدَ,exhaust
تسخسخ,tsa5sa5,أجهَدَ,exhaust
تسخسخ,tsekhsekh,أجهَدَ,exhaust
تسخسخ,tse5se5,أجهَدَ,exhaust
ضحك,d7k,ضحك,laugh
ضحك,dhk,ضحك,laugh
ضحك,d7ek,ضحك,laugh
ضحك,dhek,ضحك,laugh
ضحك,d7ak,ضحك,laugh
ضحك,dhak,ضحك,laugh
غضب,ghdb,غضب,anger
غضب,ghdab,غضب,anger
جاب,jab,يحضر,bring
كان,kan,كان,was
دار,dar,يفعل,do
دير,dir,يفعل,do
ڭال,gal,قال,say
قال,9al,قال,say
قال,qal,قال,say
عندو,3ndo,يملك,have
عندو,3ando,يملك,have
عندو,3endo,يملك,have
شدّ,chedd,يحصل على,get
شدّ,ched,يحصل على,get
شدّ,shed,يحصل على,get
شدّ,shedd,يحصل على,get
شدّ,chdd,يحصل على,get
شدّ,chd,يحصل على,get
شدّ,shd,يحصل على,get
شدّ,shdd,يحصل على,get
خود,khoud,يحصل على,get
خود,5oud,يحصل على,get
فكّر,fkkr,فكّر,think
فكّر,fkr,فكّر,think
فكّر,fkker,فكّر,think
