Darija (Arabic),Darija (Arabizi),English
ناس بداو تيتباكاو وبديت تنهدر ب نفعل بحال إلى تنهدي الناس,nas bdaou taytbakaw w bdit tanhder b nefa3l b7al ila tanhdi nas,"People started crying, and I began speaking as if I were comforting them."
بكيت والناس كلهم سكتو وانا جاني لعجب فراسي بحال إلى كنحلم,bkit w nnas kolhom skto w ana jani l3jb f rasi b7al ila kan7lm,"I cried, and everyone went silent, and I felt amazed, as if I were dreaming."
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,"nad kolchi kayeslm 3liya o kayhdro m3aya, nes bka w nes lakhir ma fhemtouch.","Everyone stood up greeting me and talking to me, half crying and the other half I didn’t understand."
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,"nad kolchi kayeslm 3liya o kayhdro m3aya, nes bka w nes la5ir ma fhemtouch.","Everyone stood up greeting me and talking to me, half crying and the other half I didn’t understand."
تعردنا لعشا و كان لعشا كافي لكلشي المعرودين,t3rdna l3cha w kan l3cha kafi lkollchi lma3rudin,"We were invited to dinner, and the dinner was enough for everyone invited."
دوزنا يامات زوينة ما عمري ما ننساها,douzna yamat zwina ma 3omri ma nansaha,We had beautiful days I will never forget.
كملت قرايتي في المعهد بزز,kmlt qrayti f lme3hed bzz,I finished my studies at the institute with difficulty.
ماكنتش كان قرا مزيان,makentch kan qra mzyan,I wasn't studying well.
خدمت في واحد من السبيطارات لي قراب من الدار الحمد لله أموري متيسرة و كنعيش مع والديى,khedmat fe wahid mn sbi6arate li 9rab mn ddar alhamdollah omory mtiysra w kan3ish m3a walidiya,"I worked in one of the hospitals near my house, thank God my affairs are going well, and I live with my parents."
خدمت في واحد من السبيطارات لي قراب من الدار الحمد لله أموري متيسرة و كنعيش مع والديى,5edmat fe wahid mn sbi6arate li 9rab mn ddar alhamdollah omory mtiysra w kan3ich m3a walidiya,"I worked in one of the hospitals near my house, thank God my affairs are going well, and I live with my parents."
قررت نجمع الصداق لمراتي كانت الخدمة غادة مزيان و حيت كانت الخدمة فالسبيطار ديال العسكر,9erert njm3 ssdaq lmrati kant lkhdma ghada mzyan w 7it kant lkhdma f ssbi6ar dyal l3askar,"I decided to save the dowry for my wife because work was going well, especially since it was at the military hospital."
قررت نجمع الصداق لمراتي كانت الخدمة غادة مزيان و حيت كانت الخدمة فالسبيطار ديال العسكر,9erert njm3 ssdaq lmrati kant l5dma ghada mzyan w 7it kant l5dma f ssbi6ar dyal l3askar,"I decided to save the dowry for my wife because work was going well, especially since it was at the military hospital."
سبيطار فيه مواضافين من كلش البلدان من أوروبا من إفريقيا و كانت عالقتي بيهوم غير الخدمة,ssbi6ar fih mowadafin mn kolchi lboldan mn oropa mn afriqiya w kant 3ala9ti bihom ghir lkhed5ma,"The hospital has staff from all countries, from Europe, from Africa, and my relationship with them was strictly work-related."
سبيطار فيه مواضافين من كلش البلدان من أوروبا من إفريقيا و كانت عالقتي بيهوم غير الخدمة,ssbi6ar fih mowadafin mn kolchi lboldan mn oropa mn afriqiya w kant 3ala9ti bihom ghir l5ed5ma,"The hospital has staff from all countries, from Europe, from Africa, and my relationship with them was strictly work-related."
و واحد النهار واحد من الأطباء الإنجليزيين بغا يرجع لبلادو حيت سالى خدمته معنا,w wa7ed nnhar wa7ed mn l2e6iba2 l2enjliziin bgha yrj3 lblado 7it sala khdmto m3ana,"And one day, one of the English doctors wanted to return to his country because he finished his work with us."
و واحد النهار واحد من الأطباء الإنجليزيين بغا يرجع لبلادو حيت سالى خدمته معنا,w wa7ed nnhar wa7ed mn l2e6iba2 l2enjliziin bgha yrj3 lblado 7it sala 5dmto m3ana,"And one day, one of the English doctors wanted to return to his country because he finished his work with us."
فكرنا أنديرو لو حفلة ديال دبار وقررنا أنديروها في جردة ديال سبيطار,fkarna andiro lo 7afla dial dbar w 9arrarna andiroha fi jarda dial sbi6ar,We thought of throwing a farewell party and decided to do it in the hospital garden.
وجدنا كلشي شرينا الحلوى و العصير,wjedna kolchi shrina l7lwa w l3asir,We found everything; we bought the sweets and the juice.
وجدنا كلشي شرينا الحلوى و العصير,wjedna kolchi chrina l7lwa w l3asir,We found everything; we bought the sweets and the juice.
ولكن كنت كنفكر أش من كادو غنعطيه,wlakin kont kanfkr ash mn kado ghan3tih,But I was thinking about what gift to give him.
ولكن كنت كنفكر أش من كادو غنعطيه,wlakin kont kanfkr ach mn kado ghan3tih,But I was thinking about what gift to give him.
هاد الطبيب كيبغي يجمع البيسات التقليدية,had e6bib kaybghi yjma3 lbisat t9lidya,This doctor likes to collect traditional coins.
ڭال لي ولد عمي نشري ليه مصحف ولا كتاب ديال الدين,gal liya wld 3mmi nchri lih mos7af wla ktab dial ddin.,My cousin told me to buy him a Quran or a religious book.
لغدليه منين مشيت نشوف شنو نشري ليه لقيت واحد الكتاب كيهدر على الإسلام بنڭليزىة,lghed lih mli mchit nchof chno nchri lih l9it wa7ed lektab kihder 3la lislam bnnegliziya,"Yesterday, when I went to see what to buy for him, I found a book about Islam in English."
تفكرت شنو ڭال لي ولد عمي ونا نقرر نشريه معا نيت كان ماغاليش,tfekrt shno gal li weld 3mmi w ana nqrr nshrih m3a nit kan ma ghalich,"I remembered what my cousin said, and I decided to buy it since it wasn’t expensive."
تفكرت شنو ڭال لي ولد عمي ونا نقرر نشريه معا نيت كان ماغاليش,tfekrt chno gal li weld 3mmi w ana nqrr nchrih m3a nit kan ma ghalich,"I remembered what my cousin said, and I decided to buy it since it wasn’t expensive."
خديت الكتاب دازت الحفلة مزيان عطيت الكادو و مرها سافر صاحبنا الطبيب,khdit lktab dazt l7afla mzyan 36it lkado w morha safr sa7bna e6bib,"I took the book, the party went well, I gave the gift, and after that, our friend the doctor traveled."
خديت الكتاب دازت الحفلة مزيان عطيت الكادو و مرها سافر صاحبنا الطبيب,5dit lktab dazt l7afla mzyan 36it lkado w morha safr sa7bna e6bib,"I took the book, the party went well, I gave the gift, and after that, our friend the doctor traveled."
دازو ليام دغية تزوجت و درت ولِيٌد,dazo lyam dghiya tzewjt w drt wliyd,The days passed quickly; I got married and had a child.
واحد النهار جاتني برية من نڭلييز قريتها بشوية كانت بنڭليزية فهمت شي حاجة أو شي حاجة ما فهمتهاش,"wa7ed ennhar jatni briya mn ngleez, qritha bchwiya, kant bngleeziya, fhemt chi 7aja w chi 7aja ma fhemthach","One day, I received a letter in English; I read it slowly, understood some things, and didn't understand others."
عرفتها من شي واحد خدم معيا شحال هادي,3reftha mn chi wa7ed khdem m3aya ch7al hadi,I knew her from someone who worked with me a while ago.
عرفتها من شي واحد خدم معيا شحال هادي,3reftha mn chi wa7ed 5dem m3aya ch7al hadi,I knew her from someone who worked with me a while ago.
اليوم كلو و أنا كنتفكر أول مرة سمعت سميتو,lyoum kolo w ana kantfkr awl mara sme3t smiyto,"All day, I've been remembering the first time I heard his name."
سديت البرية و حاولت عوتني نتفكر و لكن مقديتش نتفكر حتا شى واحد بهاد سمية حليت البرية عوتاني وبقيت كنقراها بشوية,sdit lberiya w 7awlt 3awtani ntfkr walakin ma9ditch ntfkr 7ta chi wa7d bhad smiya 7lit lberiya 3awtani w b9it knqraha bchwiya,"I closed the letter and tried again to remember, but I couldn't recall anyone with that name. I opened the letter again and kept reading it slowly."
سيدي ربي هداني للأسلام علا يديك ما عمري ما ننسا الصحبة ديالك و غادي ندعي معاك,sidi rabbi hdani lislam 3la yedik ma 3omri ma nensa sso7ba dialek w ghadi nd3i m3ak.,"My Lord guided me to Islam through you, I will never forget your companionship, and I will pray for you."
سيدي ربي هداني للأسلام علا يديك ما عمري ما ننسا الصحبة ديالك و غادي ندعي معاك,sidi rabbi hdani lislam 3la yedik ma 3omri ma nensa sso7ba dialek w ghadi nd3i m3ak.,My Lord guided me to Islam through you; I will never forget your companionship and will pray for you.
تفكرت الكتاب اللي عطيتيني فاش كنت راجع لي نڭليز راه قريتو و بغيت نقرا كتر على الإسلام,tfekert lktab li 36itini fach kont raje3 lengliz rah qrito o brit nqra kter 3la lislam,I remembered the book you gave me when I was improving my English; I read it and want to learn more about Islam.
والحمد لالله لقيت في الغلاف لدريسة ديال لطبع الكتاب وطلبت منو كتوب خُرين أو صيفط لي شنو طلبت,wa l7amdollah l9it f lghlaf ladrisa dial 6abe3 lktab w 6lbt mnou ktoub khourin o sifat li chnou 6lbt,"Thank God, I found the cover of the schoolbook for printing the book and asked him for other books or to send me what I requested."
والحمد لالله لقيت في الغلاف لدريسة ديال لطبع الكتاب وطلبت منو كتوب خُرين أو صيفط لي شنو طلبت,wa l7amdollah l9it f lghlaf ladrisa dial 6abe3 lktab w 6lbt mnou ktoub 5ourin o sifat li chnou 6lbt,"Thank God, I found the cover of the schoolbook for printing the book and asked him for other books or to send me what I requested."
مشيت لصنطر الإسلامي و شهدت أو بدلت سميتي بحال سميتك حيت أنت مول الفضل بعد الله سبحانه و غادي نمشي نحج إن شاء الله,mchit lcentre lislamiy w chehedt o bedelt smyti bhal smeytk 7it nta mol lfadel ba3d allah sobhano w ghadi nmchi n7ej inchaallah ,"I went to the Islamic center, testified, and changed my name to be like yours because you are the one who helped me after God Almighty, and I will go to perform Hajj, God willing."
