Darija (Arabic),Darija (Arabizi),English
ناس بداو تيتباكاو وبديت تنهدر ب نفعل بحال إلى تنهدي الناس,nas bdaou taytbakaw w bdit tanhder b nefa3l b7al ila tanhdi nas,"People started crying, and I began speaking as if I were comforting them."
ناس بداو تيتباكاو وبديت تنهدر ب نفعل بحال إلى تنهدي الناس,nas bdaou taytbakaw w bdit tanhder b nefa3l bhal ila tanhdi nas,"People started crying, and I began speaking as if I were comforting them."
بكيت والناس كلهم سكتو وانا جاني لعجب فراسي بحال إلى كنحلم,bkit w nnas kolhom skto w ana jani l3jb f rasi b7al ila kan7lm,"I cried, and everyone went silent, and I felt amazed, as if I were dreaming."
بكيت والناس كلهم سكتو وانا جاني لعجب فراسي بحال إلى كنحلم,bkit w nnas kolhom skto w ana jani l3jb f rasi bhal ila kanhlm,"I cried, and everyone went silent, and I felt amazed, as if I were dreaming."
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,"nad kolchi kayeslm 3liya o kayhdro m3aya, nes bka w nes lakhir ma fhemtouch.","Everyone stood up greeting me and talking to me, half crying and the other half I didn’t understand."
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,"nad kolchi kayeslm 3liya o kayhdro m3aya, nes bka w nes la5ir ma fhemtouch.","Everyone stood up greeting me and talking to me, half crying and the other half I didn’t understand."
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,"nad kolshi kayeslm 3liya o kayhdro m3aya, nes bka w nes la5ir ma fhemtoush.","Everyone stood up greeting me and talking to me, half crying and the other half I didn’t understand."
ناض كلشي كيسلم عليا أو كيهدرو معايا نص بكى ونص لاخر مافهمتوش,"nad kolshi kayeslm 3liya o kayhdro m3aya, nes bka w nes lakhir ma fhemtoush.","Everyone stood up greeting me and talking to me, half crying and the other half I didn’t understand."
تعردنا لعشا و كان لعشا كافي لكلشي المعرودين,t3rdna l3cha w kan l3cha kafi lkollchi lma3rudin,"We were invited to dinner, and the dinner was enough for everyone invited."
تعردنا لعشا و كان لعشا كافي لكلشي المعرودين,t3rdna l3sha w kan l3sha kafi lkollshi lma3rudin,"We were invited to dinner, and the dinner was enough for everyone invited."
دوزنا يامات زوينة ما عمري ما ننساها,douzna yamat zwina ma 3omri ma nansaha,We had beautiful days I will never forget.
كملت قرايتي في المعهد بزز,kmlt qrayti f lme3hed bzz,I finished my studies at the institute with difficulty.
ماكنتش كان قرا مزيان,makentch kan qra mzyan,I wasn't studying well.
ماكنتش كان قرا مزيان,makentsh kan qra mzyan,I wasn't studying well.
خدمت في واحد من السبيطارات لي قراب من الدار الحمد لله أموري متيسرة و كنعيش مع والديى,khedmat fe wahid mn sbi6arate li 9rab mn ddar alhamdollah omory mtiysra w kan3ish m3a walidiya,"I worked in one of the hospitals near my house, thank God my affairs are going well, and I live with my parents."
خدمت في واحد من السبيطارات لي قراب من الدار الحمد لله أموري متيسرة و كنعيش مع والديى,5edmat fe wahid mn sbi6arate li 9rab mn ddar alhamdollah omory mtiysra w kan3ich m3a walidiya,"I worked in one of the hospitals near my house, thank God my affairs are going well, and I live with my parents."
