Darija_Arabe,Arabizi,Anglais
كنت عارفها!,knt 3arfaha!,I knew it!
ا ربي!,a rbi!,Oh Lord!
هادشي كولو لغالاط ديالك,hadchi kollo lghalat dyalk,All of this is your fault.
هادشي كولو لغالاط ديالك,hadshi kollo lghalat dyalk,All of this is your fault.
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat w9a3at ksida ash khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat w9a3at ksida ach 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat w9a3at ksida ach khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat w9a3at ksida ash 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat wqa3at ksida ach 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat wqa3at ksida ach khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat wqa3at ksida ash 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w f7alat wqa3at ksida ash khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat w9a3at ksida ach 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat w9a3at ksida ach khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat w9a3at ksida ash 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat w9a3at ksida ash khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat wqa3at ksida ach 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat wqa3at ksida ach khsna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat wqa3at ksida ash 5sna ndiro?,"And in cases of an accident, what should we do?"
و فحالات وقعات كسيدا اش خصنا نديرو؟,w fhalat wqa3at ksida ash khsna ndiro?,"And in cases of an accident, what should we do?"
لاش جبتي معاك شجرا ل طيارا؟!,lash jebti m3ak shjara l tayara?!,Why did you bring a tree to the plane?!
لاش جبتي معاك شجرا ل طيارا؟!,lach jebti m3ak chjara l tayara?!,Why did you bring a tree to the plane?!
واش نتي حمقا!,wash nti 7am9a!,Are you crazy!
واش نتي حمقا!,wach nti 7am9a!,Are you crazy!
واش نتي حمقا!,wach nti 7amqa!,Are you crazy!
واش نتي حمقا!,wach nti ham9a!,Are you crazy!
واش نتي حمقا!,wach nti hamqa!,Are you crazy!
واش نتي حمقا!,wash nti 7amqa!,Are you crazy!
واش نتي حمقا!,wash nti ham9a!,Are you crazy!
واش نتي حمقا!,wash nti hamqa!,Are you crazy!
تانقتارح اناك تسمع كتر و تهدر قل,tanaqtar7 anak tsm3 kter w thdr 9l,I suggest that you listen more and talk less.
تانقتارح اناك تسمع كتر و تهدر قل,tanaqtar7 anak tsm3 kter w thdr ql,I suggest that you listen more and talk less.
تانقتارح اناك تسمع كتر و تهدر قل,tanaqtarh anak tsm3 kter w thdr 9l,I suggest that you listen more and talk less.
تانقتارح اناك تسمع كتر و تهدر قل,tanaqtarh anak tsm3 kter w thdr ql,I suggest that you listen more and talk less.
خصني نمشي دابا,khessni nmshi daba,I need to go now.
خصني نمشي دابا,5essni nmchi daba,I need to go now.
خصني نمشي دابا,5essni nmshi daba,I need to go now.
خصني نمشي دابا,khessni nmchi daba,I need to go now.
و شحال هادا باش نتا مكلف؟,w sh7al hada bach nta mkalf?,And how much are you in charge of?
و شحال هادا باش نتا مكلف؟,w ch7al hada bach nta mkalf?,And how much are you in charge of?
و شحال هادا باش نتا مكلف؟,w chhal hada bach nta mkalf?,And how much are you in charge of?
و شحال هادا باش نتا مكلف؟,w sh7al hada bash nta mkalf?,And how much are you in charge of?
و شحال هادا باش نتا مكلف؟,w shhal hada bach nta mkalf?,And how much are you in charge of?
و شحال هادا باش نتا مكلف؟,w shhal hada bash nta mkalf?,And how much are you in charge of?
ڭلت ليك لكرافس، واش ماتاتسمعش,"9lt lik lkarafes, wash matatsma3sh","I told you celery, don't you listen?"
ڭلت ليك لكرافس، واش ماتاتسمعش,"9lt lik lkarafes, wach matatsma3ch","I told you celery, don't you listen?"
ڭلت ليك لكرافس، واش ماتاتسمعش,"qlt lik lkarafes, wach matatsma3ch","I told you celery, don't you listen?"
ڭلت ليك لكرافس، واش ماتاتسمعش,"qlt lik lkarafes, wash matatsma3sh","I told you celery, don't you listen?"
واخا نزيد شي بوعويد تاهوا؟,wa5a nzid chi bou3wid tahowa?,Should I add another small piece too?
واخا نزيد شي بوعويد تاهوا؟,wa5a nzid shi bou3wid tahowa?,Should I add another small piece too?
واخا نزيد شي بوعويد تاهوا؟,wakha nzid chi bou3wid tahowa?,Should I add another small piece too?
واخا نزيد شي بوعويد تاهوا؟,wakha nzid shi bou3wid tahowa?,Should I add another small piece too?
لايسخر، انا معاك,"la yskhar, ana m3ak","Don't mock, I'm with you."
لايسخر، انا معاك,"la ys5ar, ana m3ak","Don't mock, I'm with you."
وا راه عشر سنين هادي,wa rah 3sher snin hadi,It's been ten years.
وا راه عشر سنين هادي,wa rah 3cher snin hadi,It's been ten years.
اش بغيتي معاه؟,ash bghiti m3ah?,What do you want with him?
اش بغيتي معاه؟,ach bghiti m3ah?,What do you want with him?
عافاك واخا تسد شرجم معاك,3afak wakha tsedd shrjm m3ak,Please close the window with you.
عافاك واخا تسد شرجم معاك,3afak wa5a tsedd chrjm m3ak,Please close the window with you.
عافاك واخا تسد شرجم معاك,3afak wa5a tsedd shrjm m3ak,Please close the window with you.
عافاك واخا تسد شرجم معاك,3afak wakha tsedd chrjm m3ak,Please close the window with you.
وا هير تلقنا و باراكا من لهضرا,wa hiyya tle9na w baraka mn lhadra,Just leave us alone and stop talking.
وا هير تلقنا و باراكا من لهضرا,wa hiyya tleqna w baraka mn lhadra,Just leave us alone and stop talking.
واش ماتاتفكرش؟,wash matatfkrsh?,Don't you remember?
واش ماتاتفكرش؟,wach matatfkrch?,Don't you remember?
راه غاتجووج سيمانا جايا.,raha ghatjwej simana jaya.,It will be in two weeks.
تجووجو صغار بزاف,tjowjo sghar bezaf,They marry too young.
هوا مجووج ب موحاميا من طانجا,hwa mjowej b mo7amiya mn tanja,He is married to a lawyer from Tangier.
هوا مجووج ب موحاميا من طانجا,hwa mjowej b mohamiya mn tanja,He is married to a lawyer from Tangier.
ماتڭولش,matgoulsh,Don't say.
ماتڭولش,matgoulch,Don't say.
دابا كايدووز بزاف تلوقت فدار,daba kaydowz bzaf tlwa9t fdar,Now he spends a lot of time at home.
دابا كايدووز بزاف تلوقت فدار,daba kaydowz bzaf tlwaqt fdar,Now he spends a lot of time at home.
الا كان هادشي لي كاتقصد,ila kan hadchi li kat9sod,If this is what you mean.
الا كان هادشي لي كاتقصد,ila kan hadchi li katqsod,If this is what you mean.
الا كان هادشي لي كاتقصد,ila kan hadshi li kat9sod,If this is what you mean.
الا كان هادشي لي كاتقصد,ila kan hadshi li katqsod,If this is what you mean.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w y7e6o m3a lkhel,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w y7e6o m3a l5el,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w y7eto m3a l5el,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w y7eto m3a lkhel,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w yhe6o m3a l5el,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w yhe6o m3a lkhel,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w yheto m3a l5el,Two habits will be valued and combined with vinegar.
عاداتان غايتغلاو ويتحطو معا لخل,3adatan ghaytghlaw w yheto m3a lkhel,Two habits will be valued and combined with vinegar.
ڭداش؟,gdash?,What?
ڭداش؟,gdach?,What?
واش كبير؟,wash kbir?,Is it big?
واش كبير؟,wach kbir?,Is it big?
ماغانطيبوش ماكلا طاليانيا,maghantybouch makla taliyania,We won't cook Italian food.
ماغانطيبوش ماكلا طاليانيا,maghantyboush makla taliyania,We won't cook Italian food.
هادا غايكون طاباق مغريبي حور,haada ghaykoun tabaq maghribiy 7or,This will be an authentic Moroccan dish.
هادا غايكون طاباق مغريبي حور,haada ghaykoun tabaq maghribiy hor,This will be an authentic Moroccan dish.
لباربا زوينا، والاكين تقدر تعطيك واحد لماداق حلو,"lbarba zwina, walakin t9dr t3tik wa7d lmada9 7elu","The beet is nice, but it can give you a sweet taste."
لباربا زوينا، والاكين تقدر تعطيك واحد لماداق حلو,"lbarba zwina, walakin t9dr t3tik wahd lmada9 helu","The beet is nice, but it can give you a sweet taste."
لباربا زوينا، والاكين تقدر تعطيك واحد لماداق حلو,"lbarba zwina, walakin tqdr t3tik wa7d lmadaq 7elu","The beet is nice, but it can give you a sweet taste."
لباربا زوينا، والاكين تقدر تعطيك واحد لماداق حلو,"lbarba zwina, walakin tqdr t3tik wahd lmadaq helu","The beet is nice, but it can give you a sweet taste."
طوال ب طابيعت لحال,twal b tabi3at l7al,It depends.
طوال ب طابيعت لحال,twal b tabi3at lhal,It depends.
بغيتي بطاطا فريت معاهوم، تاهيا؟,"bghiti btatat frit m3ahom, tahia?",Do you want fries with them too?
و اش باليك نمشيو ل كينما؟,w ach balik nmchiw l kinima?,What do you think about going to the cinema?
و اش باليك نمشيو ل كينما؟,w ash balik nmshiw l kinima?,What do you think about going to the cinema?
ماعادا الا عندك شي هاجا خرا بغيتي تزيدها,ma3ada illa 3ndk chi haja khra bghiti tzidha,Unless you have something else you want to add.
ماعادا الا عندك شي هاجا خرا بغيتي تزيدها,ma3ada illa 3ndk chi haja 5ra bghiti tzidha,Unless you have something else you want to add.
ماعادا الا عندك شي هاجا خرا بغيتي تزيدها,ma3ada illa 3ndk shi haja 5ra bghiti tzidha,Unless you have something else you want to add.
ماعادا الا عندك شي هاجا خرا بغيتي تزيدها,ma3ada illa 3ndk shi haja khra bghiti tzidha,Unless you have something else you want to add.
تبرع ليا معا راسك!,tbrre3 lia m3a rask!,Take care of yourself!
ماترددش ترجع عندي,matrdedch terja3 3ndi,Don't hesitate to come back to me.
ماترددش ترجع عندي,matrdedsh terja3 3ndi,Don't hesitate to come back to me.
دابا تايباليا عندي ڭاع داكشي لي تانحتاج باش نحل هاد لموشكيل,daba taybaliya 3ndi ga3 dakchi li tan7taj bash n7ell had lmochkil,Now I think I have everything I need to solve this problem.
دابا تايباليا عندي ڭاع داكشي لي تانحتاج باش نحل هاد لموشكيل,daba taybaliya 3ndi ga3 dakchi li tan7taj bach n7ell had lmochkil,Now I think I have everything I need to solve this problem.
دابا تايباليا عندي ڭاع داكشي لي تانحتاج باش نحل هاد لموشكيل,daba taybaliya 3ndi ga3 dakchi li tanhtaj bach nhell had lmochkil,Now I think I have everything I need to solve this problem.
دابا تايباليا عندي ڭاع داكشي لي تانحتاج باش نحل هاد لموشكيل,daba taybaliya 3ndi ga3 dakchi li tanhtaj bash nhell had lmochkil,Now I think I have everything I need to solve this problem.
دابا تايباليا عندي ڭاع داكشي لي تانحتاج باش نحل هاد لموشكيل,daba taybaliya 3ndi ga3 dakshi li tan7taj bash n7ell had lmoshkil,Now I think I have everything I need to solve this problem.
دابا تايباليا عندي ڭاع داكشي لي تانحتاج باش نحل هاد لموشكيل,daba taybaliya 3ndi ga3 dakshi li tanhtaj bash nhell had lmoshkil,Now I think I have everything I need to solve this problem.
كنت غانقتارح هادشي تاهووا,knt ghan9tar7 hadchi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghan9tar7 hadshi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghan9tarh hadchi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghan9tarh hadshi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghanqtar7 hadchi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghanqtar7 hadshi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghanqtarh hadchi tahowa.,I was going to suggest this too.
كنت غانقتارح هادشي تاهووا,knt ghanqtarh hadshi tahowa.,I was going to suggest this too.
خليني نڭوليك واحد لحاجا,khallini ngoulik wa7ed l7aja,Let me tell you something.
خليني نڭوليك واحد لحاجا,5allini ngoulik wa7ed l7aja,Let me tell you something.
خليني نڭوليك واحد لحاجا,5allini ngoulik wahed lhaja,Let me tell you something.
خليني نڭوليك واحد لحاجا,khallini ngoulik wahed lhaja,Let me tell you something.
بعد لمرات تانضحكو بعد لمرات تانبكيو,b3d lmerat tand7ko b3d lmerat tanbkiw,"Sometimes we laugh, sometimes we cry."
بعد لمرات تانضحكو بعد لمرات تانبكيو,b3d lmerat tandhko b3d lmerat tanbkiw,"Sometimes we laugh, sometimes we cry."
غانڭوليك واحد لهاجا، كاتعجبني!,"ghankolik wa7d lahaja, kat3jbni!","""I'm going to tell you something, I like it!"""
غانڭوليك واحد لهاجا، كاتعجبني!,"ghankolik wahd lahaja, kat3jbni!","""I'm going to tell you something, I like it!"""
وايه، غاندير هادشي تاهوا,"wa yeh, ghandir hadchi tahowa","Yes, I will do this too."
وايه، غاندير هادشي تاهوا,"wa yeh, ghandir hadshi tahowa","Yes, I will do this too."
هي قبل مانمشي نعس,hiya 9bel ma nemchi n3es,It's before I go to sleep.
هي قبل مانمشي نعس,hiya 9bel ma nemshi n3es,It's before I go to sleep.
هي قبل مانمشي نعس,hiya qbel ma nemchi n3es,It's before I go to sleep.
هي قبل مانمشي نعس,hiya qbel ma nemshi n3es,It's before I go to sleep.
عافاك حتارم لقاواعيد,3afak 7tarim l9awa3id,Please respect the rules.
عافاك حتارم لقاواعيد,3afak 7tarim lqawa3id,Please respect the rules.
عافاك حتارم لقاواعيد,3afak htarim l9awa3id,Please respect the rules.
عافاك حتارم لقاواعيد,3afak htarim lqawa3id,Please respect the rules.
انا متءكد غاتحصن قاريبان,ana mt2kd ghate7sn qariban,I’m sure you’ll get better soon.
انا متءكد غاتحصن قاريبان,ana mt2kd ghatehsn qariban,I’m sure you’ll get better soon.
كيما قتارحتي,ki ma qtara7ti,As you suggested.
كيما قتارحتي,ki ma qtarahti,As you suggested.
اساسان نتا تحت ضاغط دابا,asasan nta ta7t da3t daba,"Basically, you are under pressure now."
اساسان نتا تحت ضاغط دابا,asasan nta taht da3t daba,"Basically, you are under pressure now."
هادشي تايوقع ل عاداد من ناس هاد ليامات,hadchi tay9a3 l 3adad men nas had liyamat,This has been happening to many people these days.
هادشي تايوقع ل عاداد من ناس هاد ليامات,hadchi tayqa3 l 3adad men nas had liyamat,This has been happening to many people these days.
هادشي تايوقع ل عاداد من ناس هاد ليامات,hadshi tay9a3 l 3adad men nas had liyamat,This has been happening to many people these days.
هادشي تايوقع ل عاداد من ناس هاد ليامات,hadshi tayqa3 l 3adad men nas had liyamat,This has been happening to many people these days.
فنفس لوقت ماعندكش موشكيل فدماغك,f nafs lwaqt ma3andeksh moshkil f dmaghek,"At the same time, you don't have a problem in your mind."
فنفس لوقت ماعندكش موشكيل فدماغك,f nafs lwaqt ma3andekch mochkil f dmaghek,"At the same time, you don't have a problem in your mind."
كيما كاتڭول,kima katgoul,As they say
اه، شوكران بزاف علا ناصيحا ديالك.,"ah, shokran bzaf 3la nnassi7a dialk.","Oh, thank you very much for your advice."
اه، شوكران بزاف علا ناصيحا ديالك.,"ah, chokran bzaf 3la nnassi7a dialk.","Oh, thank you very much for your advice."
اه، شوكران بزاف علا ناصيحا ديالك.,"ah, chokran bzaf 3la nnassiha dialk.","Oh, thank you very much for your advice."
اه، شوكران بزاف علا ناصيحا ديالك.,"ah, shokran bzaf 3la nnassiha dialk.","Oh, thank you very much for your advice."
تانضن انا هادشي اقدر اكون حل,tanden ana hadchi a9dar ikoun 7ell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadchi a9dar ikoun hell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadchi aqdar ikoun 7ell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadchi aqdar ikoun hell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadshi a9dar ikoun 7ell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadshi a9dar ikoun hell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadshi aqdar ikoun 7ell,I think this could be a solution.
تانضن انا هادشي اقدر اكون حل,tanden ana hadshi aqdar ikoun hell,I think this could be a solution.
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la 9al khetwa fl itijah sa7i7,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la 9al 5etwa fl itijah sa7i7,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la 9al 5etwa fl itijah sahih,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la 9al khetwa fl itijah sahih,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la qal 5etwa fl itijah sa7i7,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la qal 5etwa fl itijah sahih,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la qal khetwa fl itijah sa7i7,"If he said, guide him in the right direction."
الا عل اقال خطوا فل اتيجاه صاحيح,ila 3la qal khetwa fl itijah sahih,"If he said, guide him in the right direction."
كانعتادر,kan3tader,I apologize.
ماكانعرفوش عليهوم بزاف,ma kan3arfouch 3lihom bzaf,We don't know much about them.
ماكانعرفوش عليهوم بزاف,ma kan3arfoush 3lihom bzaf,We don't know much about them.
واش كاينين موديرات خرين فنفس لموستاوا ديالها,wash kaynin modirat khrin f nafs lmostawa dialha,Are there other moderators at her same level?
