english,darija
"May God give you health, I liked your henna tattoo. What's its name so I can find it? May God reward you with goodness.","Ilah i3tik sha , ana 3jbatni thana dyalk achno smiytha ofin n9dir nil9aha , jazaka laho khayran"
May God guide you and calm your soul.,Machalah rabi yhada9 lasam tahdi rohak
"May God protect you, my sister. You are so dear to us.",Rebi yehfedk a kheti rak 3ziza 3lina bezafff
Respected and respectful woman. The dogs bark and the caravan passes. Continue on your way and let the dogs bark.,Femme respctée et réspectueuse . Les chiens aboient et la caravane passe . Continue ton chemin et laisse les chiens aboyer .
Delicious sweets that we enjoy during the month of Ramadan are easy recipes for the fasting people without complication and within everyone's reach.,Chehiwat zwinine kantmnaw fchehar ramadan ikono wasafat lisahline bla ta39ad o3la 9ad jib
You look beautiful.,machaalah meci
God bless you,Tbarkallah 3lik ❤ ️ ♥ ️ ♥ ️ ❤ ️ ♥ ️ ❤ ️ ❤ ️ ♥ ️
"God bless you, Halima ❤️❤️❤️❤️👍👍👍👍👍🌺🌺🌺😋😋😋😋😋😋😋👍👍👍👍",Tbark Allah alayk halima ❤ ️ ❤ ️ ❤ ️ ❤ ️ 👍 👍 👍 👍 👍 🌺 🌺 🌺 😋 😋 😋 😋 😋 😋 😋 👍 👍 👍 👍
"Hello, it's the fine semolina that you need, thank you for your answer.",Salem c & # 39 ; est la semoule la fine ou la moyenne qu & # 39 ; il faut merci pour votre réponse .
May God grant glory to the Filali family.,El azzz lala l filallia
God bless you. May God bring them to justice. 🤲 🏻 👍 👍 👍,Tbarkalah 3lik lah iyakhoud l7a9 fihoum 🤲 🏻 👍 👍 👍
"I'm so happy to see you that I come to you crying, I swear. You make me so happy. I love you like my mom.",Kanfraa7 bzffff min kanchofak hata katjini bakya walh . fara7tiiiiiniiii ana kanhasbak b7al mamaaa
"My sister Halima, they say that my country is the best. Even I always think that small is good until I heard Dr. Mohamed El Fayed, may God prolong his life, say to drink cactus. Without salt, it is healthier and not small.",Yakhti Halima rah kawlaw bldi howa lkhir HTA ana dima kayhsabli sghir howa lmzyan HTA sma3t doktor mohmade lfayd lah itwal fl3mar dyalo Gal lib lkchera . Bla mlh howa sihi okhsan machi seghir
"Hi sister Halima, the first time I didn't believe you about your thing, the cupcake didn't come out good at all, the way you did it was a failure.",Slm khti halima awl mara mktsd9ch lya chihaja dyalk kawkaw majach zwiiin walo khayba tari9a ldrti
I also saw on Facebook your page supporting Ukraine; and the increase in prices.,ﺣﺘﻰ ﺍﻧﺎ ﺷﻔﺖ ﻓﻲ ﺍﻟﻔﺎﻳﺴﺒﻮﻙ ﺻﻔﺤﺘﻚ ﻛﺪﻋﻤﻲ ﺍﻭﻛﺮﺍﻧﻴﺎ ؛ . ﻭﺍﻟﺰﻳﺎﺩﺓ ﺩﻳﺎﻝ ﺍﻻﺳﻌﺎﺭ
"God bless you, what God has willed for you is amazing.","Tbarkellah mashallah 3lik ,"
I always get drunk before playing above average. I feel better than Fran.,Ana kanhmar fm9la tl5ab fo9 bota katjini hsn mn fran
"My sister Halima, you are a reasonable woman.",Lhsd akhti halima ntina mra m39ola
"Make us some stuffed mlawi pastries, my sister. May God protect your children, husband, and keep them safe.",Diri lina mlawi m3emerine akheti lhela ykhtik ykhli lik wlidatek orajelek oyehejbhom
"I apologize for the confusion, but I am not a Moroccan translator. The input sentence you provided is in Spanish, not Moroccan Arabic. Here is the English translation of the Spanish sentence:

Hello, I love how you cook and your recipes. Can you write the recipe in English, French or Spanish? Thank you very much.","Hola me encanta como cocinas y tus recetas puedes escribir y en inglés , francés o español la receta muchas gracias"
My sister Halima is a free woman and my mother to me.,Ntiya akhti halima mra houra omita liya
"This is true, my sister. I entered this group by mistake because I saw your name, and I am one of the people who follow you and admire you.",Hadchi bsahe akhti ana brassi dkhalte lhade lgrope hite chafto bsmitake wana man nasse li mtab3inake okanhma9e 3lik
"Go ahead, my sister.",Basah à khti
"Hello sister Halima, I follow you on YouTube and your recipes are amazing. You are a very respectable lady. I like you very much for the videos that you make for us. May God guide these people, that's all. Thank you very much. Niermine, Holland 👍🏻👍🏻👍🏻🇫🇷🇫🇷",Slam khti halima ana kan tebi3ik fie YouTube wasafat daylik dayalik tina 9ant dayalik mo7atarma bezaff kan bagik bezafff 3ala vidoe yalik lie kad dirilina had nas lah hidihom o safi kan chekerik bezafff Niermine holanda 👍 🏻 👍 🏻 👍 🏻 🇫 🇷 🇫 🇷
"Oh, every Ramadan, you do it.",O 😳 😤 😤 OOOFFFF . KOL RAMDAM . TADIRIHA
"May God give you health, bless you.",Allah i3tek sehha tebarkellah 3lik
"Happy birthday, sister Halima. I really like you from afar, you are a good person and always number one in cooking. I am one of your biggest fans. May God punish those who wronged you. Don't deprive us of your recipes and continue giving more.",ﻋﻮﺍﺷﺮ ﻣﺒﺮﻭﻙ ﺧﺘﻲ ﺣﻠﻴﻤﺔ ﺍﻧﺎ ﻧﺒﻌﺪﺍ ﻛﺎﻧﺤﻤﺎﻕ ﻋﻠﻴﻚ ﻭﺍﻧﺴﺎﻧﺔ ﻃﻴﺒﺔ ﻭﺩﺍﺀﻣﺎ ﺭﻗﻢ ﻓﻲي ﺍﻟﺸﻴﻬﻮﺍﺕ ﻭﺍﻧﺎ ﻣﻦ ﺍﺷﺪ ﺍﻟﻤﻌﺠﺒﻴﻦ ﻭﷲ ﻳﺎﺧﺬ ﺍﻟﺤﻖ ﻓﻲ ﻟﻲ ﺍﺳﺎﺀ ﻟﻴﻚ ﻭﻣﺎﺗﺒﺨﻠﻴﺶ ﻋﻠﻴﻨﺎ ﺑﺸﻴﻬﻮﺍﺗﻚ ﻭﻣﺰﻳﺪﺍ ﻣﻦ ﺍﻟﻌﻄﺎﺀ
The Palestinians are starving and you're talking about eating 😮 what Ramadan? You are KUFFAR . 🇵 🇸 🇵 🇸 🇵 🇸 🇵 🇸,Les Palestiniens sont affamés et vous parlez de mangiare 😮 qui Ramadan ? Vous êtes KOUFAR . 🇵 🇸 🇵 🇸 🇵 🇸 🇵 🇸
I saw someone on Facebook who has a lot of topics.,Ana chft wahd fi lfaysbok fih mawadi3 bzzaf
"If I knew who Halima Filali was, I would tell you everything 😍 😘",🤍 ❤ ❤ kan 3arfou chkoun halima lfilali koli chi bain 😍 😘
How are you,Yak labas
"Thank you, it's delicious.",Tbarkalah 3lik kaychahi
