Darija (Arabic),Darija (Arabizi),English
اشمن ديصير بغيتي؟,achmen disir bghiti?,Which juice do you want?
اشمن ديصير بغيتي؟,ashmen disir bghiti?,Which juice do you want?
زبيب و مشماش يابص هوما اعاز هاجا عندي,zbib w mchmach yabes huma a3az haja 3andi,Raisins and dried apricots are my favorite things.
زبيب و مشماش يابص هوما اعاز هاجا عندي,zbib w mshmash yabes huma a3az haja 3andi,Raisins and dried apricots are my favorite things.
واخا، اندير داكشي.,"wakha, ndir dakchi.","Okay, I'll do that."
واخا، اندير داكشي.,"wa5a, ndir dakchi.","Okay, I'll do that."
واخا، اندير داكشي.,"wa5a, ndir dakshi.","Okay, I'll do that."
واخا، اندير داكشي.,"wakha, ndir dakshi.","Okay, I'll do that."
نقدر نڭاد زاجا، تاهوا، الا بغيتي.,"n9dar ngad zaja, ta8wa, ila bghiti.","I can fix the glass, too, if you want."
نقدر نڭاد زاجا، تاهوا، الا بغيتي.,"n9dar ngad zaja, tahwa, ila bghiti.","I can fix the glass, too, if you want."
نقدر نڭاد زاجا، تاهوا، الا بغيتي.,"nqdar ngad zaja, ta8wa, ila bghiti.","I can fix the glass, too, if you want."
نقدر نڭاد زاجا، تاهوا، الا بغيتي.,"nqdar ngad zaja, tahwa, ila bghiti.","I can fix the glass, too, if you want."
هادشي مناسب ف لعوتلا.,8adchi mnasab f l3otla.,This is suitable for the countryside.
هادشي مناسب ف لعوتلا.,8adshi mnasab f l3otla.,This is suitable for the countryside.
هادشي مناسب ف لعوتلا.,hadchi mnasab f l3otla.,This is suitable for the countryside.
هادشي مناسب ف لعوتلا.,hadshi mnasab f l3otla.,This is suitable for the countryside.
بغيتها بحال شي كسوا زويونا.,bghitha b7al chi kswa zwinna.,I want it like a nice outfit.
بغيتها بحال شي كسوا زويونا.,bghitha b7al shi kswa zwinna.,I want it like a nice outfit.
بغيتها بحال شي كسوا زويونا.,bghitha bhal chi kswa zwinna.,I want it like a nice outfit.
بغيتها بحال شي كسوا زويونا.,bghitha bhal shi kswa zwinna.,I want it like a nice outfit.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro b7al chakhsiyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro b7al cha5siyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro b7al sha5siyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro b7al shakhsiyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro bhal cha5siyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro bhal chakhsiyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro bhal sha5siyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,n9adro ndiro bhal shakhsiyat james bond ola l9arasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro b7al cha5siyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro b7al chakhsiyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro b7al sha5siyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro b7al shakhsiyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro bhal cha5siyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro bhal chakhsiyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro bhal sha5siyat james bond ola lqarasina.,We can act like James Bond characters or our own.
نقدرو نديرو بحال شاخسيات جامس بوند اولا لقاراسينا.,nqadro ndiro bhal shakhsiyat james bond ola lqarasina.,We can act like James Bond characters or our own.
اه.,ah,Yes.
عجباتني فيكرات جامس بوند.,3ajbatni fikrat james bond.,I liked the James Bond ideas.
ايخالي ناص يبانو مبوڭصين.,aykhali nas ybanu mbou9sin.,My cousins look confused.
ايخالي ناص يبانو مبوڭصين.,ay5ali nas ybanu mbou9sin.,My cousins look confused.
ايخالي ناص يبانو مبوڭصين.,ay5ali nas ybanu mbouqsin.,My cousins look confused.
ايخالي ناص يبانو مبوڭصين.,aykhali nas ybanu mbouqsin.,My cousins look confused.
انا انكون اكتوپوصي.,ana nkoun aktopossi.,I will be an octopus.
بيغيتيني نكون جامس؟,bighitini nkoun jams?,Do you want me to be silent?
لموشكيلا اقدرو يكونو بزاف ديال جامس.,lmouchkila 9adro ykouno bzaf dial jams.,The problem could be a lot of things.
لموشكيلا اقدرو يكونو بزاف ديال جامس.,lmouchkila qadro ykouno bzaf dial jams.,The problem could be a lot of things.
لموشكيلا اقدرو يكونو بزاف ديال جامس.,lmoushkila 9adro ykouno bzaf dial jams.,The problem could be a lot of things.
لموشكيلا اقدرو يكونو بزاف ديال جامس.,lmoushkila qadro ykouno bzaf dial jams.,The problem could be a lot of things.
فيعلان، غاتكون احصان جامس ga3 !,"fi3lan, ghatkun a7san jams ga3 !","Really, it will be amazing!"
فيعلان، غاتكون احصان جامس ga3 !,"fi3lan, ghatkun ahsan jams ga3 !","Really, it will be amazing!"
انا ماكنشبهش ليه..,ana makanshbhsh li8.,I don't look like him.
انا ماكنشبهش ليه..,ana makanchbhch li8.,I don't look like him.
انا ماكنشبهش ليه..,ana makanchbhch lih.,I don't look like him.
انا ماكنشبهش ليه..,ana makanshbhsh lih.,I don't look like him.
واخا،و لمشروبات، اش نديرو فيهوم؟,"wakha, w lmshrobat, ash ndiro fihom?","Okay, and for the drinks, what should we do with them?"
واخا،و لمشروبات، اش نديرو فيهوم؟,"wa5a, w lmchrobat, ach ndiro fihom?","Okay, and for the drinks, what should we do with them?"
واخا،و لمشروبات، اش نديرو فيهوم؟,"wa5a, w lmshrobat, ash ndiro fihom?","Okay, and for the drinks, what should we do with them?"
واخا،و لمشروبات، اش نديرو فيهوم؟,"wakha, w lmchrobat, ach ndiro fihom?","Okay, and for the drinks, what should we do with them?"
نقدرو نديرو سانڭريا.,n9adro ndiro sangria.,We can make sangria.
نقدرو نديرو سانڭريا.,nqadro ndiro sangria.,We can make sangria.
و الا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,w ila kan ljo mzyan n9adro n7taflo f jarda.,"And if the weather is good, we can celebrate in the garden."
و الا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,w ila kan ljo mzyan n9adro nhtaflo f jarda.,"And if the weather is good, we can celebrate in the garden."
و الا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,w ila kan ljo mzyan nqadro n7taflo f jarda.,"And if the weather is good, we can celebrate in the garden."
و الا كان لجوو مزيان نقدرو نحتافلو ف جاردا.,w ila kan ljo mzyan nqadro nhtaflo f jarda.,"And if the weather is good, we can celebrate in the garden."
ايه، هادي فيكرا مازيانا.,"iyih, 8adi fikra maziana.","Yes, that's a good idea."
ايه، هادي فيكرا مازيانا.,"iyih, hadi fikra maziana.","Yes, that's a good idea."
دابا صافي خاصنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.,daba safi khasna ghir nchoufo dyaf li ghay7adro wnsifto l3radat.,Now we just need to see the guests who will attend and send the invitations.
دابا صافي خاصنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.,daba safi 5asna ghir nchoufo dyaf li ghay7adro wnsifto l3radat.,Now we just need to see the guests who will attend and send the invitations.
