Darija_Arabe,Anglais
سمحلي عفاك. واخا توريني الطريق من هنايا ديال اقرب بنكا؟,"Excuse me, please. Can you show me the way from here to the nearest bank?"
إينا طابق؟,Which floor?
شكرا بزاف.,Thank you very much.
وخا نعاود نشوف لموني؟,Can I see the lemon again?
فين نقدر نلقا التوقيت ديال تران؟,Where can I find the train schedule?
سمحلي عفاك. وخا تقولي وقتاش كيخرج التران من بوستون؟,"Excuse me, please. Can you tell me when the train leaves from Boston?"
وخا ديرلي شي تخفيض؟,Can you give me a discount?
كايبانوليا باقين فتيين.,They still look young to me.
ملي تسافر ل نيويورك، متنساش تزور بلايص خرين و المعالم المهمة فحال داك التمتال د الحرية الي كاين ف جزيرة الحرية.,"When you travel to New York, dont forget to visit other places and important landmarks like the Statue of Liberty located on Liberty Island."
بغيتي تصيفتو بالطيارة أولا بالباطو؟,Do you want to send it by plane or by boat?
عندك الصرف ديال هاد ميات دولار؟,Do you have change for this hundred dollars?
هاد سونطرال بارك، ياك؟,"This is Central Park, right?"
انا نعيط لبارمان.,I will call the bartender.
نقدرو نستقبلوك معا التلاتة ديال الزوال. ويلا كنتي باغي تكري شي ماطريال، خاصك تمشي ل الكلوب هاوص معا تلاتة للاربع.,"We can receive you at three in the afternoon. And if you want to rent some equipment, you need to go to the clubhouse between three and four."
التيكيتة ديال الطوبيس دايرة ميا و تمانين ين.,The bus ticket costs one hundred and eighty yen.
ضرباتني طونوبيل حتا طيحاتني.,A car hit me and knocked me down.
واش الفطور ديالي باقي ماجا؟ عافاك جيبو دابا.,Has my breakfast not arrived yet? Please bring it now.
فين نقدر نفطر؟ و معاياش كاتبداو تسربيوه؟,Where can I have breakfast? And when do you start serving it?
ليوما، غادي نمشي نشوف المتحف ديال لوڤغ، اما البارح مشيت شفت الكنيسة ديال نوطخ دام.,"Today, I’m going to visit the Louvre Museum, but yesterday I visited Notre Dame Church."
واخا تعطيني معاك داك لبزارعفاك؟,"Can you pass me that spice, please?"
شوكرا على المساعدة ديالك ليا ف المسافرة ديالي ل ميريكان.,Thank you for your help with my trip to America.
فيناهيية بلاصت الباغاج؟,Where is the luggage area?
وخا تحضيليا هاد شوانيت حتال الربعة؟,Can you watch these things for me until four?
غي نرجع من اليابان بغيت نصاوبو.,I want to fix it when I return from Japan.
واش عندك المسائيل ديال لخياطة؟,Do you have sewing supplies?
بشحال؟,How much?
بالفريز، عفاك.,"With strawberries, please."
انا جاي من سويسرا.,I am coming from Switzerland.
تحرقات واحد لبولة الضو.,A light bulb burned out.
الجبل فوجي اللي ف اليابان هو اعلى واحد، فيه تلتالاف و تسعمية و ستين ميترو.,"Mount Fuji in Japan is the highest one, with 3,960 meters."
لا، مازال. كاين بزاف د الاختيارات.,"No, not yet. There are many options."
ضاراني لمعدة.,My stomach hurts.
بغيت شي كريم د اليل.,I want a night cream.
انا فلاح.,I am a farmer.
كاين غي الشيفور فالطوبيس، ماكاينش الروسوڤور.,"There is only the driver on the bus, no conductor."
بغيت نصلح كسوتي.,I want to fix my clothes.
سمحلي، وخا تكحز شوية الملف من الكرسي ديالك إلا جات على خاطرك؟,"Sorry, can you move the file a bit from your chair if you dont mind?"
هاد النهار زوين، كاينة ولا لا؟,"This day is beautiful, isnt it?"
مابين المخبازة و الجزار.,Between the bakery and the butcher.
آرا ليا هادشي، صافي هادشي لي عندك؟,"Show me this, is this all you have?"
فهمت، بدا تعمر فهاد المعلومات. وقوليا اللون و قداش الصاك و شنو كان عندك فيه.,"Understood, start filling in this information. And tell me the color, the size of the bag, and what you had in it."
واش عندك الخريطة ديال الزناقي؟,Do you have the map of the streets?
عافاك صيفط هادشي بالبريد ديال البحرية لليابان.,Please send this by sea mail to Japan.
أجي لهنايا.,Come here.
وخا تنقص لييا من لكمام؟,Can you lower the price for me?
سمح ليا ماكاينش شي ملعب ديال الغولف فهاد الجوايه.,"Sorry, there isnt a golf course in this area."
وخا تعطيني شي كارط بوسطال؟,Can you give me a postcard?
هاد الصباح، خديت شي دوا ديال البرد لي ضربني فاليابان.,"This morning, I took some medicine for the cold I caught in Japan."
وخا توريني الخاتم الثاني على اليسار؟,Can you show me the second ring on the left?
بغيت نريزيرڤي شي بلاصا.,I want to reserve a spot.
واخا تقوليه يعيط ليا؟,Can you tell him to call me?
شحال د الوقت باش نمشي على رجلي من هنايا ل البرج د لوندون؟,How long does it take to walk from here to the Tower of London?
من اينا باب غادي نطلعو للي غادين ل واشينطون رحلة رقم طناش؟,Which gate are we boarding for flight number twelve to Washington?
وخا نطيب راسي؟,Should I cook for myself?
واخا تلبس شي كرافاطا، عفاك؟,"Can you wear a tie, please?"
معاياش نقدر نوض؟,Can I get up?
وخا تحل الكوفر ديال السيارة؟ ندير فيه باليزتي.,Can you open the car trunk? Ill put my suitcase in it.
حاولت نعيط لخاريج. واش وصلتي؟,I tried calling abroad. Did you arrive?
بشحآل لساعة؟,What time is it?
وخا تعطيني جوج بواطات ديال لكاضو؟,Can you give me two gift boxes?
كنقلب على شي مقلى مكتلصقش.,Im looking for a nonstick pan.
شنو كاين ف هاد الصاك؟,Whats in this bag?
واقيلا أجلوالماتش ديال البيزبول.,Maybe they postponed the baseball match.
غلاط.,Mistake.
واش عندك هاذا ف الزرق؟,Do you have this in blue?
ماعرفتش هاد المبنى. ولاكن هادي هيا الطريق ل حي لاوياما.,"I dont know this building, but this is the road to the Laouiyama neighborhood."
مابقا عندي تا فيلم. كايتباعو هنايا؟,I dont have any movies left. Are they sold here?
وخا دوز ليا لا شومبر ديال السي الموريي؟,Can you book me Mr. Mouriys room?
بغيت شي بلاصا ف خطوط طيران يونايتد، رحلة رقم تسعميا و طنينو عشرين ل نيويورك.,"I want a seat on United Airlines, flight number 920 to New York."
إيمتاش غادي تبدا الحضة الجاية؟,When will the next session start?
بشحال طلعو عليا هاد المكالامات؟,How much did these calls cost me?
قطع ليا واحد بلاصة ل دوفرعفاك؟,"Can you cut a spot on my nail, please?"
را مكتوبة : ممنوع تفوت الوقت المسموح.,"Its written: ""Do not exceed the allowed time."""
عندك شي وحيدة صغيورة؟,Do you have a little girl?
كتب ورقة صرح فيها ب شنو ضاع ليك.,Write a paper stating what you lost.
صاك أو اباراي د التصاور.,Your bag or stop taking pictures.
انا جاي من الجابون.,I am coming from Gabon.
مزيان حيت غادي تبان ليك الراية مقابلة معا البوصطا.,"Good, because youll see the flag facing the post office."
مكنضنش. حسن ليك خود الطوبيس.,I dont think so. Its better for you to take the bus.
دابا نقلب. سمح ليا منلقاش سميتك.,"Now I’ll check. Sorry, I can’t find your name."
إيلا جات على خاطرك. واش شارع أورموز قريب من هنايا؟,If you dont mind. Is Ormuz Street close to here?
وخا تسربيني دابا؟,Will you give me a ride now?
واقيلا كاين شي خطأ. دابا واخا تشوف كي الدير لينا باش باش نبقاو؟,"Maybe there is a mistake. Now, even if you see what hes doing to us, how can we continue?"
راها الفيزا نمرة ربعة تسعود زيرو تمنية واحد خمسة واحد جوج تلاتة ستة سبعة سبعة ستة زيرو زيرو ربعة.,The visa number is 4908151236776004.
